RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
255,Isaiah Hodgins (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
256,Chris Finke (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
257,Mason Kinsey (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
258,Austin Mack (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
259,Tyrie Cleveland (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
260,Trishton Jackson (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
261,Omar Bayless (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
262,Stephen Sullivan (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
263,Binjimen Victor (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
264,K.J. Osborn (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
265,Aaron Parker (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
266,Isaiah Wright (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
267,Jauan Jennings (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
268,Lynn Bowden Jr. (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
269,Juwan Johnson (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
270,Quartney Davis (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
271,Quintez Cephus (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9%
272,James Proche (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
273,Isaiah Coulter (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
274,Ja'Marr Chase (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1%
275,Jaylen Waddle (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8%
276,Rashod Bateman (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3%
277,Rondale Moore (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9%
278,Amon-Ra St. Brown (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8%
279,Reggie Begelton (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
280,Tylan Wallace (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0%
281,Darnell Mooney (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7%
282,Gunner Olszewski (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
283,Kirk Merritt (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
284,Denzel Mims (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7%
285,KJ Hamler (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3%
286,Antonio Gandy-Golden (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
287,K.J. Hill Jr. (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
288,John Hightower (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
289,Aaron Fuller (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
290,Donovan Peoples-Jones (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4%
291,Michael Pittman Jr. (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4%
292,Nick Westbrook-Ikhine (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
293,Devin Duvernay (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1%
294,Jerry Jeudy (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3%
295,Brandon Aiyuk (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.9%
296,Justin Jefferson (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.8%
297,DeVonta Smith (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.7%
298,Laviska Shenault Jr. (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5%
299,Jalen Reagor (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.1%
300,Tee Higgins (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3%
301,Henry Ruggs III (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0%
302,CeeDee Lamb (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.1%
303,Travis Fulgham (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
304,Steven Mitchell Jr. (HOU) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
305,Steven Dunbar Jr. (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
306,Devin Gray (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
307,Christian Blake (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
308,Byron Pringle (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7%
309,Rico Gafford (ARI) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
310,Janarion Grant (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
311,Caleb Scott (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
312,Devin Ross (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
313,Cam Sims (WAS) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%
314,De'Mornay Pierson-El (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
315,Saeed Blacknall (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
316,Rashard Davis (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
317,Fred Brown (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
318,Lance Lenoir Jr. (BUF) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
319,Greg Ward (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
320,Da'Mari Scott (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
321,Chris Lacy (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
322,Jeff Badet (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
323,Dylan Cantrell (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
324,Austin Proehl (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
325,Daurice Fountain (KC) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
326,Quadree Henderson (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
327,Jaleel Scott (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
328,Braxton Berrios (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
329,Jester Weah (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
330,Deon Cain (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
331,Cedrick Wilson (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
332,Jakobi Meyers (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0%
333,Bryan Edwards (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3%
334,Tyler Johnson (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
335,Chase Claypool (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9%
336,Stanley Morgan Jr. (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
337,KeeSean Johnson (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
338,Diontae Johnson (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9%
339,Preston Williams (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3%
340,Antoine Wesley (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
341,Lil'Jordan Humphrey (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
342,Ashton Dulin (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
343,Mecole Hardman (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9%
344,Greg Dortch (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
345,David Sills V (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
346,Gary Jennings Jr. (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
347,Keelan Doss (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
348,Cody Thompson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
349,Jon'Vea Johnson (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
350,Miles Boykin (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
351,Trinity Benson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
352,Tyron Johnson (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
353,Jeff Smith (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
354,Penny Hart (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
355,Michael Walker (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
356,Stephen Carlson (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
357,Trenton Irwin (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
358,John Ursua (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
359,Scotty Miller (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
360,Olabisi Johnson (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
361,Darius Slayton (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
362,Quinton Bell (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
363,Juwann Winfree (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
364,Ishmael Hyman (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
365,DeAndre Thompkins (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
366,Shaq Roland (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
367,Anthony Johnson (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
368,Deebo Samuel (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0%
369,J.J. Arcega-Whiteside (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
370,Hakeem Butler (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
371,Kelvin Harmon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
372,Marquise Brown (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2%
373,N'Keal Harry (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3%
374,D.K. Metcalf (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
375,A.J. Brown (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.8%
376,Collin Johnson (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
377,Riley Ridley (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
378,Terry McLaurin (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0%
379,Johnnie Dixon (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
380,Parris Campbell (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2%
381,Emanuel Hall (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
382,Andy Isabella (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
383,Terry Godwin (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
384,Alexander Hollins (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
385,Hunter Renfrow (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6%
386,A.J. Richardson (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
387,Jalen Hurd (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
388,Shawn Poindexter (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
389,Chris Rowland (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
390,Anthony Schwartz (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
391,Dax Milne (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
392,Austin Watkins Jr. (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
393,Jaelon Darden (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
394,D'Wayne Eskridge (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1%
395,Marlon Williams (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
396,Trevon Grimes (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
397,Chris Blair (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
398,Cornell Powell (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
399,Cade Johnson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
400,Jonathan Adams Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
401,Damon Hazelton (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
402,Frank Darby (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
403,Warren Jackson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
404,Josh Palmer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
405,Ben Skowronek (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
406,Antonio Nunn (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
407,Jacob Harris (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
408,Terrace Marshall Jr. (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4%
409,Darece Roberson Jr. (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
410,Mathew Sexton (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
411,Micah Simon (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
412,Simi Fehoko (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
413,Kai Locksley (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
414,Racey McMath (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
415,Austin Trammell (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
416,Jalen Camp (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
417,T.J. Simmons (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
418,Travis Toivonen (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
419,C.J. Saunders (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
420,Khalil McClain (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
421,Donte Sylencieux (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
422,Branden Mack (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
423,DeVontres Dukes (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
424,Tim Jones (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
425,Dillon Stoner (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
426,DJ Turner (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
427,Riley Lees (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
428,Connor Wedington (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
429,Tre Nixon (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
430,Jhamon Ausbon (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
431,Mike Strachan (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
432,Landen Akers (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
433,Blake Proehl (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
434,Myron Mitchell (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
435,Jeremiah Haydel (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
436,Brandon Smith (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
437,Rico Bussey (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
438,Bailey Gaither (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
439,Isaiah McKoy (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
440,Javon McKinley (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
441,Osirus Mitchell (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
442,Kawaan Baker (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
443,Jeff Cotton (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
444,Elijah Moore (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5%
445,Dyami Brown (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9%
446,Dez Fitzpatrick (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
447,Whop Philyor (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
448,Demetric Felton (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
449,Dan Chisena (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
450,Andre Baccellia (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
451,Maurice Ffrench (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
452,Dalton Schoen (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
453,T.J. Vasher (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
454,J.J. Koski (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
455,Siaosi Mariner (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
456,Josh Hammond (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
457,Matt Cole (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
458,JoJo Ward (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
459,Ihmir Smith-Marsette (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
460,Seth Williams (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
461,Brennan Eagles (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
462,Marquez Stevenson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
463,Kadarius Toney (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3%
464,Amari Rodgers (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4%
465,Nico Collins (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9%
466,Eli Stove (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
467,Josh Imatorbhebhe (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
468,Shi Smith (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
469,Tutu Atwell (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7%
470,Cyril Grayson Jr. (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
471,Dazz Newsome (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
472,Tamorrion Terry (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
473,Sage Surratt (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
474,Patrick Edwards (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
475,Michael Calvin (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
476,Eron Riley (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
477,Andy Fantuz (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
478,Taj Smith (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
479,Scotty McKnight (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
480,Demario Ballard (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
481,Marqise Lee (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
482,Markus Wheaton (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
483,Lance Long (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
484,Kenny McKinley (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
485,Juaquin Iglesias (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
486,John Standeford (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
487,Brandon Tate (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
488,Brandon London (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
489,Bobby Wade (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
490,Austin Collie (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
491,Chris Henry (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
492,Joe Webb III (NYG) ,2,3,13,6.5,7,0,0,0,0,0,0,16,0.0,0.0,0.0%
493,Dez Bryant (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6%
494,Tyler Grisham (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
495,Todd Watkins (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
496,Jeremy Williams (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
497,Onrea Jones (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
498,Patrick Williams (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
499,Dominique Edison (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
500,Mike Wallace (FA) ,0,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
501,Mike Furrey (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
502,Maurice Purify (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
503,Matthew Slater (NE) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
504,Marko Mitchell (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
505,Nate Hughes (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
506,Sam Giguere (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
507,Rod Harper (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
508,Mike Thomas (CIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
509,Trevor Davis (WAS) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
510,Mose Frazier (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
511,Jaydon Mickens (TB) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
512,Kalif Raymond (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
513,Johnny Holton (NYG) ,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
514,Alonzo Russell (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
515,Keenan Reynolds (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
516,Pharoh Cooper (JAC) ,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
517,Taquan Mizzell (NYG) ,8,10,78,9.8,26,1,1,9,16,0,0,9,0.0,0.0,0.0%
518,C.J. Board (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
519,Andre Patton (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
520,Tanner Gentry (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
521,Deante Burton (DAL) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
522,Reggie Davis (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
523,Isaac Whitney (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
524,Jamal Agnew (JAC) ,0,0,0,0,0,0,0,1,17,0,0,6,0.0,0.0,0.1%
525,Tanner McEvoy (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
526,Duke Williams (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
527,Jake Lampman (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
528,Marken Michel (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
529,Brendan Langley (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
530,Artavis Scott (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
531,Bug Howard (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
532,Cody Hollister (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
